!Gene list based on the Araport11 genome release
!Release date of annotation: June 2016 
!Annotated by: Araport at J. Craig Ventner Institute
name	gene_model_type
AT1G04340	protein_coding
AT1G04343	antisense_long_noncoding_rna
AT1G04347	antisense_long_noncoding_rna
AT1G04350	protein_coding
AT1G04353	antisense_long_noncoding_rna
AT1G04357	long_noncoding_rna
AT1G04360	protein_coding
AT1G04363	long_noncoding_rna
AT1G04367	long_noncoding_rna
AT1G04370	protein_coding
AT1G04373	long_noncoding_rna
AT1G04377	long_noncoding_rna
AT1G04380	protein_coding
AT1G04383	long_noncoding_rna
AT1G04387	long_noncoding_rna
AT1G04390	protein_coding
AT1G04393	miRNA_primary_transcript
AT1G04397	long_noncoding_rna
AT1G04400	protein_coding
AT1G04403	long_noncoding_rna
AT1G04407	long_noncoding_rna
AT1G04410	protein_coding
AT1G04413	antisense_long_noncoding_rna
AT1G04417	antisense_long_noncoding_rna
AT1G04420	protein_coding
AT1G04423	miRNA_primary_transcript
AT1G04425	other_rna
AT1G04427	long_noncoding_rna
AT1G04430	protein_coding
AT1G04433	antisense_long_noncoding_rna
AT1G04437	antisense_long_noncoding_rna
AT1G04440	protein_coding
AT1G04443	long_noncoding_rna
AT1G04445	protein_coding
AT1G04447	long_noncoding_rna
AT1G04450	protein_coding
AT1G04453	long_noncoding_rna
AT1G04455	protein_coding
AT1G04457	pseudogene
AT1G04463	antisense_long_noncoding_rna
AT1G04467	antisense_long_noncoding_rna
AT1G04470	protein_coding
AT1G04473	antisense_long_noncoding_rna
AT1G04477	antisense_long_noncoding_rna
AT1G04480	protein_coding
AT1G04483	antisense_long_noncoding_rna
AT1G04487	antisense_long_noncoding_rna
AT1G04490	protein_coding
AT1G04493	long_noncoding_rna
AT1G04497	long_noncoding_rna
AT1G04500	protein_coding
AT1G04503	antisense_long_noncoding_rna
AT1G04507	antisense_long_noncoding_rna
AT1G04510	protein_coding
AT1G04513	antisense_long_noncoding_rna
AT1G04517	small_nucleolar_rna
AT1G04520	protein_coding
AT1G04523	long_noncoding_rna
AT1G04527	small_nucleolar_rna
AT1G04530	protein_coding
AT1G04533	antisense_long_noncoding_rna
AT1G04537	antisense_long_noncoding_rna
AT1G04540	protein_coding
AT1G04543	novel_transcribed_region
AT1G04547	small_nucleolar_rna
AT1G04550	protein_coding
AT1G04555	protein_coding
AT1G04557	long_noncoding_rna
AT1G04560	protein_coding
AT1G04563	long_noncoding_rna
AT1G04567	antisense_long_noncoding_rna
AT1G04570	protein_coding
AT1G04573	long_noncoding_rna
AT1G04577	antisense_long_noncoding_rna
AT1G04580	protein_coding
AT1G04583	antisense_long_noncoding_rna
